Sheet row,Name,Discipline (C),Line (D),Also Appears In (K)
63,Cartwheel - Front,Inverted & Rotational Locomotion,Cartwheel Family,
64,Cartwheel - Mini Front,Inverted & Rotational Locomotion,Cartwheel Family,
65,Cartwheel - Circle,Inverted & Rotational Locomotion,Cartwheel Family,
66,Cartwheel - Cross,Inverted & Rotational Locomotion,Cartwheel Family,
67,Rolê,Rhythm & Flow,Floor Flow,
68,Front Walkover,Inverted & Rotational Locomotion,Walkovers,
69,Back Walkover,Inverted & Rotational Locomotion,Walkovers,
70,Gumby,Inverted & Rotational Locomotion,Walkovers,
71,Aerial,Inverted & Rotational Locomotion,Flips & Handsprings,Inverted & Rotational Locomotion - Cartwheel Family
72,,,,
73,Float - Backside,Rhythm & Flow,Floor Flow,
74,Float - Frontside,Rhythm & Flow,Floor Flow,
75,Meia Lua Kick,Rhythm & Flow,Kicks,
76,Sweep Kick,Rhythm & Flow,Kicks,
77,Crescent Kick - Inside,Rhythm & Flow,Kicks,
78,Crescent Kick - Outside,Rhythm & Flow,Kicks,
79,Crescent Kick - Pop,Rhythm & Flow,Kicks,
80,Monkey Kick,Rhythm & Flow,Kicks,Ground Locomotion - Quadrupedal Forward
81,Roundhouse Kick,Rhythm & Flow,Kicks,
82,Tornado Kick,Rhythm & Flow,Kicks,
83,Butterfly Kick,Rhythm & Flow,Kicks,
84,Butterfly Twist,Inverted & Rotational Locomotion,Flips & Handsprings,Rhythm & Flow - Floor Flow
85,Hook Kick,Rhythm & Flow,Kicks,
86,,,,
87,Monkey Flip,Rhythm & Flow,Acrobatics,
88,Schwheel,Rhythm & Flow,Acrobatics,
89,Coin,Rhythm & Flow,Acrobatics,
90,Handspin,Rhythm & Flow,Acrobatics,
91,Barrel Roll,Rhythm & Flow,Acrobatics,
92,Reversão,Rhythm & Flow,Acrobatics,
93,Gainer,Rhythm & Flow,Acrobatics,
94,Helicóptero,Rhythm & Flow,Acrobatics,
95,Arm Swipe,Rhythm & Flow,Acrobatics,
96,,,,
97,Leg Sweep,Rhythm & Flow,Floor Flow,
98,Helicopter,Rhythm & Flow,Floor Flow,
99,Windmill,Rhythm & Flow,Floor Flow,
100,Around the World,Rhythm & Flow,Floor Flow,
101,90/90 to Belly Roll,Rhythm & Flow,Floor Flow,
102,Fish Flop,Rhythm & Flow,Floor Flow,
103,Fish Flop - Single Leg,Rhythm & Flow,Floor Flow,
104,Shoulder Roll,Rhythm & Flow,Floor Flow,Ground Locomotion - Rolling Locomotion
105,,,,
106,Shoulder Stand - Parallettes,Hand Balancing & Inversion,Bent-Arm Balances,
107,Shoulder Stand - Rings,Hand Balancing & Inversion,Bent-Arm Balances,
108,Croc,Hand Balancing & Inversion,Bent-Arm Balances,
109,QDR,Hand Balancing & Inversion,Bent-Arm Balances,
110,QDR - Full Rotation,Hand Balancing & Inversion,Bent-Arm Balances,
111,Bridge Circle,Spinal Mobility,Spinal Extension & Bridging,Rhythm & Flow - Acrobatics
112,Bridge Circle - Half,Spinal Mobility,Spinal Extension & Bridging,
113,Crow,Hand Balancing & Inversion,Bent-Arm Balances,
114,Crow - Straight Arm,Hand Balancing & Inversion,Bent-Arm Balances,
115,Crow - Single Leg,Hand Balancing & Inversion,Bent-Arm Balances,
116,Air Baby,Hand Balancing & Inversion,Bent-Arm Balances,
117,,,,
118,Handstand - Freestanding,Hand Balancing & Inversion,Static Inversion,
119,Handstand - Box,Hand Balancing & Inversion,Static Inversion,
120,Handstand - Chest to Wall,Hand Balancing & Inversion,Static Inversion,
121,Handstand - Toe Pulls,Hand Balancing & Inversion,Static Inversion,
122,Handstand - Heel Pulls,Hand Balancing & Inversion,Static Inversion,
123,Handstand - Kick Up,Hand Balancing & Inversion,Static Inversion,
124,Handstand - Straddle,Hand Balancing & Inversion,Shaped Handstands,
125,Handstand - Half Straddle,Hand Balancing & Inversion,Shaped Handstands,
126,Handstand - Split,Hand Balancing & Inversion,Shaped Handstands,
127,Handstand - Stag,Hand Balancing & Inversion,Shaped Handstands,
128,Handstand - Tuck,Hand Balancing & Inversion,Shaped Handstands,
129,Handstand - Flag,Hand Balancing & Inversion,Shaped Handstands,
130,Handstand - Walk,Hand Balancing & Inversion,Static Inversion,
131,Handstand - Diamond,Hand Balancing & Inversion,Shaped Handstands,
132,Handstand - Shoulder Taps,Hand Balancing & Inversion,Static Inversion,
133,Handstand - Partner,Hand Balancing & Inversion,Static Inversion,Partner & Connection - Team Work & Connection
134,Handstand - Fingertip Holds,Hand Balancing & Inversion,Static Inversion,
135,Handstand - Seven,Hand Balancing & Inversion,Shaped Handstands,
136,Handstand - Wolf,Hand Balancing & Inversion,Shaped Handstands,
137,Handstand - Hollow Back,Hand Balancing & Inversion,Shaped Handstands,
138,Wall Walk,Pressing Strength,Vertical Press,
139,Wall Walk - Box,Pressing Strength,Vertical Press,
140,,,,
141,Ring Row,Hanging & Pulling,Horizontal Pull,
142,Ring Row - Rotational,Hanging & Pulling,Horizontal Pull,
143,Ring Row - Rotational Ipsilateral,Hanging & Pulling,Horizontal Pull,
144,Ring Row - Rotational Contralateral,Hanging & Pulling,Horizontal Pull,
145,Chin Up,Hanging & Pulling,Vertical Pull,
146,Chin Up - Banded,Hanging & Pulling,Vertical Pull,
147,Chin Up - Negative,Hanging & Pulling,Vertical Pull,
148,Chin Up - Hold,Hanging & Pulling,Vertical Pull,
149,Chin Up - Archer,Hanging & Pulling,Vertical Pull,
150,Chin Up - Typewriter,Hanging & Pulling,Vertical Pull,
151,Chin Up - Mixed Grip,Hanging & Pulling,Vertical Pull,
152,Chin Up - Weighted,Hanging & Pulling,Vertical Pull,
153,Chin Up - One Arm,Hanging & Pulling,Vertical Pull,
154,Pull Up,Hanging & Pulling,Vertical Pull,
155,Rope Climb - Legless,Hanging & Pulling,Vertical Pull,
156,Rope Climb - Feet Assisted,Hanging & Pulling,Vertical Pull,
157,Bicep Curl - Rings,Pressing Strength,Arms & Accessory,
158,Bicep Curl - Dumbbell,Pressing Strength,Arms & Accessory,
159,Bicep Curl - Rotational,Pressing Strength,Arms & Accessory,
160,Hammer Curl,Pressing Strength,Arms & Accessory,
161,Bent Over Row,Hanging & Pulling,Horizontal Pull,
162,Bent Over Row - Single Arm,Hanging & Pulling,Horizontal Pull,
163,Pelican Curl,Pressing Strength,Arms & Accessory,
164,Ring Facepull,Hanging & Pulling,Horizontal Pull,
165,Infinity Ring Pull,Hanging & Pulling,Vertical Pull,
166,,,,
167,Passive Hang,Hanging & Pulling,Passive / Active Hang,
168,Passive Hang - Supinated,Hanging & Pulling,Passive / Active Hang,
169,Passive Hang - Assisted,Hanging & Pulling,Passive / Active Hang,
170,Passive Hang - Assisted Supinated,Hanging & Pulling,Passive / Active Hang,
171,Passive to Active Hang,Hanging & Pulling,Passive / Active Hang,
172,Passive to Active Hang - Supinated,Hanging & Pulling,Passive / Active Hang,
173,Active Hang,Hanging & Pulling,Passive / Active Hang,
174,Active Hang - Supinated,Hanging & Pulling,Passive / Active Hang,
175,Eagle Hang,Hanging & Pulling,Passive / Active Hang,
176,Eagle Hang - Half,Hanging & Pulling,Passive / Active Hang,
177,Hang - One Arm,Hanging & Pulling,Passive / Active Hang,
178,Hang - Hollow Body,Hanging & Pulling,Passive / Active Hang,
179,Arching Scap Pull,Hanging & Pulling,Passive / Active Hang,
180,Arching Scap Pull - Supinated,Hanging & Pulling,Passive / Active Hang,
181,Swinging,Hanging & Pulling,Swinging & Brachiation,
182,Lateral Swing,Hanging & Pulling,Swinging & Brachiation,
183,Brachiation,Hanging & Pulling,Swinging & Brachiation,
184,Lache,Hanging & Pulling,Swinging & Brachiation,
185,Glide Kip,Hanging & Pulling,Pull-to-Press Transition,
186,Swing to Precision,Hanging & Pulling,Swinging & Brachiation,
187,Ape Swing,Hanging & Pulling,Swinging & Brachiation,
188,Bar Kip,Hanging & Pulling,Pull-to-Press Transition,
189,,,,
190,Front Lever,Straight Arm Strength,Front Lever Line,
191,Front Lever - Straddle,Straight Arm Strength,Front Lever Line,
192,Front Lever - Tuck,Straight Arm Strength,Front Lever Line,
193,Ice Cream Maker,Straight Arm Strength,Front Lever Line,
194,Front Lever Pull,Straight Arm Strength,Front Lever Line,
195,Front Lever Pull - Tuck,Straight Arm Strength,Front Lever Line,
196,Front Lever Pull - Straddle,Straight Arm Strength,Front Lever Line,
197,Front Lever - Deadlift,Straight Arm Strength,Front Lever Line,
198,,,,
199,Skin the Cat,Straight Arm Strength,Straight Arm Rotation,Straight Arm Strength - Front Lever Line
200,Skin the Cat - Jumping,Straight Arm Strength,Straight Arm Rotation,Straight Arm Strength - Front Lever Line
201,Skin the Cat - Pike,Straight Arm Strength,Straight Arm Rotation,Straight Arm Strength - Front Lever Line
202,360 Pull,Straight Arm Strength,Straight Arm Rotation,Straight Arm Strength - Front Lever Line
203,German Hang,Straight Arm Strength,Back Lever Line,
204,German Hang - Assisted,Straight Arm Strength,Back Lever Line,
205,Back Lever,Straight Arm Strength,Back Lever Line,
206,Back Lever - Tuck,Straight Arm Strength,Back Lever Line,
207,Back Lever - Straddle,Straight Arm Strength,Back Lever Line,
208,,,,
209,Human Flag,Straight Arm Strength,Side Lever Line,
210,Human Flag - Feet Assisted,Straight Arm Strength,Side Lever Line,
211,Human Flag - Feet Assisted Straddle,Straight Arm Strength,Side Lever Line,
212,Human Flag - Kick Up,Straight Arm Strength,Side Lever Line,
213,Human Flag - Negative,Straight Arm Strength,Side Lever Line,
214,Human Flag - Straddle,Straight Arm Strength,Side Lever Line,
215,Human Flag - Angled,Straight Arm Strength,Side Lever Line,
216,Human Flag - Limp,Straight Arm Strength,Side Lever Line,
217,,,,
218,Inverted Hang - Rings,Hanging & Pulling,Passive / Active Hang,Straight Arm Strength - Straight Arm Rotation
219,Nutcracker,Core & Midline,Hanging Core & Compression,
220,Meat Hook,Core & Midline,Hanging Core & Compression,
221,Meat Hook - Two Hands Feet Assisted,Core & Midline,Hanging Core & Compression,
222,Meat Hook - Two Hands,Core & Midline,Hanging Core & Compression,
223,Meat Hook - Negative,Core & Midline,Hanging Core & Compression,
224,Meat Hook - Pull to One Arm,Core & Midline,Hanging Core & Compression,
225,,,,
226,Hanging Leg Raise,Core & Midline,Hanging Core & Compression,
227,Hanging Leg Raise - Tuck,Core & Midline,Hanging Core & Compression,
228,Hanging Leg Raise - Straddle,Core & Midline,Hanging Core & Compression,
229,Hanging Leg Raise - One Arm,Core & Midline,Hanging Core & Compression,
230,Around the World Leg Raise,Core & Midline,Hanging Core & Compression,
231,Around the World Leg Raise - Tuck,Core & Midline,Hanging Core & Compression,
232,Windscreen Wipers,Core & Midline,Hanging Core & Compression,
233,Hanging L-Sit,Core & Midline,Hanging Core & Compression,
234,Pull Over,Hanging & Pulling,Pull-to-Press Transition,
235,Pull Over - Jump,Hanging & Pulling,Pull-to-Press Transition,
236,Forward Roll - Bar,Straight Arm Strength,Straight Arm Rotation,Ground Locomotion - Rolling Locomotion
237,Backward Roll - Bar,Straight Arm Strength,Straight Arm Rotation,Ground Locomotion - Rolling Locomotion
238,Skin the Cat - Bar,Straight Arm Strength,Straight Arm Rotation,
239,Muscle Up - Bar,Hanging & Pulling,Pull-to-Press Transition,Hanging & Pulling - Vertical Pull
240,,,,
241,Top Support - Rings,Pressing Strength,Dip Press,
242,Ring Roll,Straight Arm Strength,Straight Arm Rotation,
243,Ring Roll - Backward,Straight Arm Strength,Straight Arm Rotation,
244,Muscle Up - Rings,Hanging & Pulling,Pull-to-Press Transition,Pressing Strength - Dip Press
245,Muscle Up - Baby,Hanging & Pulling,Pull-to-Press Transition,
246,Muscle Up - Negative,Hanging & Pulling,Pull-to-Press Transition,
247,Muscle Up - Transition,Hanging & Pulling,Pull-to-Press Transition,
248,,,,
249,Push Up,Pressing Strength,Horizontal Press,
250,Push Up - Knees,Pressing Strength,Horizontal Press,
251,Push Up - Box,Pressing Strength,Horizontal Press,
252,Push Up - Negative,Pressing Strength,Horizontal Press,
253,Push Up - Deficit,Pressing Strength,Horizontal Press,
254,Push Up - One Arm,Pressing Strength,Horizontal Press,
255,Push Up - Clap,Pressing Strength,Horizontal Press,
256,Push Up - Fists,Pressing Strength,Horizontal Press,
257,Push Up - Fingertips,Pressing Strength,Horizontal Press,
258,Push Up - Tiger Bend,Pressing Strength,Horizontal Press,
259,Push Up - Fin,Pressing Strength,Horizontal Press,
260,Push Up - Knuckles to Fin,Pressing Strength,Horizontal Press,
261,Push Up - Rings,Pressing Strength,Horizontal Press,
262,Pike Push Up,Pressing Strength,Vertical Press,
263,Pike Push Up - Bent Legs,Pressing Strength,Vertical Press,
264,Handstand Push Up,Pressing Strength,Vertical Press,
265,Handstand Push Up - Box,Pressing Strength,Vertical Press,
266,Handstand Push Up - Wall,Pressing Strength,Vertical Press,
267,Handstand Push Up - Deficit,Pressing Strength,Vertical Press,
268,QDR - Push Up,Pressing Strength,Bent-Arm to Straight-Arm Press,
269,Push Up - Bridge,Spinal Mobility,Spinal Extension & Bridging,Pressing Strength - Vertical Press
270,Tricep Extension - Rings,Pressing Strength,Arms & Accessory,
271,Dip - Box,Pressing Strength,Dip Press,
272,Dip - Rings,Pressing Strength,Dip Press,
273,Dip - Rings Banded,Pressing Strength,Dip Press,
274,Dip - Rings Jumping,Pressing Strength,Dip Press,
275,Dip - Low Hold,Pressing Strength,Dip Press,
276,Shoulder Press - Dumbbell,Pressing Strength,Vertical Press,
277,Shoulder Press - Barbell,Pressing Strength,Vertical Press,
278,Thruster,Loaded Lower Body Strength,Bilateral Squat,Pressing Strength - Vertical Press
279,Jerk,Pressing Strength,Vertical Press,
280,Crow to Handstand,Pressing Strength,Bent-Arm to Straight-Arm Press,
281,Shoulder Stand to Handstand,Pressing Strength,Bent-Arm to Straight-Arm Press,
282,Handstand to QDR,Pressing Strength,Bent-Arm to Straight-Arm Press,
283,Handstand to Croc,Pressing Strength,Bent-Arm to Straight-Arm Press,
284,Bridge Push Up,Spinal Mobility,Spinal Extension & Bridging,Pressing Strength - Bent-Arm to Straight-Arm Press
285,,,,
286,2 Ball,Object Play,Juggling,
287,3 Ball Cascade,Object Play,Juggling,
288,3 Ball Reverse Cascade,Object Play,Juggling,
289,3 Ball Mills Mess,Object Play,Juggling,
290,3 Ball Take Outs,Object Play,Juggling,
291,3 Ball Flash,Object Play,Juggling,
292,4 Ball Fountain,Object Play,Juggling,
293,4 Ball Fountain Reverse,Object Play,Juggling,
294,2 Up Two Over,Object Play,Juggling,
295,5 Ball Cascade,Object Play,Juggling,
296,Tennis Juggling,Object Play,Juggling,
297,Box,Object Play,Juggling,
298,4 Ball RLRL,Object Play,Juggling,
299,4 Ball RLLR,Object Play,Juggling,
300,3 Ball Behind the Back,Object Play,Juggling,
301,3 Club Cascade,Object Play,Juggling,
302,4 Club Fountain,Object Play,Juggling,
303,Weighted Juggling,Object Play,Juggling,
304,Rings Juggling,Object Play,Juggling,
305,,,,
306,Bo-Staff - Forward Spin,Object Play,Staff,
307,Bo-Staff - Backward Spin,Object Play,Staff,
308,Bo-Staff - Forward to Backward,Object Play,Staff,
309,Bo-Staff - Endless Spin,Object Play,Staff,
310,Bo-Staff - Around the World,Object Play,Staff,
311,Bo-Staff - Endless Spin Release,Object Play,Staff,
312,Bo-Staff - Behind the Back,Object Play,Staff,
313,Bo-Staff - Around the World Release,Object Play,Staff,
314,Bo-Staff - Palm Spin,Object Play,Staff,
315,Bo-Staff - Butterfly Spin,Object Play,Staff,
316,,,,
317,Banded Circles,Shoulder & Thoracic Mobility,Shoulder Rotation,
318,Banded Pull Apart,Shoulder & Thoracic Mobility,Scapular Control,
319,Behind the Back Supinated Raise,Shoulder & Thoracic Mobility,Scapular Control,
320,Banded Frontal Raise,Shoulder & Thoracic Mobility,Scapular Control,
321,Banded Lateral Raise,Shoulder & Thoracic Mobility,Scapular Control,
322,Banded Dislocate,Shoulder & Thoracic Mobility,Shoulder Rotation,
323,Banded Overhead Pull Apart,Shoulder & Thoracic Mobility,Scapular Control,
324,Banded Facepull,Shoulder & Thoracic Mobility,Scapular Control,
325,Banded External Rotation Pull Apart,Shoulder & Thoracic Mobility,Shoulder Rotation,
326,Banded External Rotation - Single Arm,Shoulder & Thoracic Mobility,Shoulder Rotation,
327,Banded Internal Rotation - Single Arm,Shoulder & Thoracic Mobility,Shoulder Rotation,
328,Banded Thoracic Rotations,Shoulder & Thoracic Mobility,Chest & Thoracic Opening,
329,Banded Lower Trap Pull,Shoulder & Thoracic Mobility,Scapular Control,
330,Banded Shoulder Routine,Shoulder & Thoracic Mobility,Scapular Control,
331,Banded Row,Shoulder & Thoracic Mobility,Scapular Control,
332,Banded Straight Arm Pull Down,Shoulder & Thoracic Mobility,Scapular Control,
333,Banded Chin Pull Down,Shoulder & Thoracic Mobility,Scapular Control,
334,Bicep Curl - Banded,Pressing Strength,Arms & Accessory,
335,Tricep Extension - Banded,Pressing Strength,Arms & Accessory,
336,,,,
337,Elephant Walk,Hip & Leg Mobility,Front Split Line,
338,Elephant Walk - Slant Board,Hip & Leg Mobility,Front Split Line,
339,Jefferson Curl,Loaded Lower Body Strength,Hip Hinge,
340,Jefferson Curl - Wide Leg,Loaded Lower Body Strength,Hip Hinge,
341,Jefferson Curl - to Squat,Loaded Lower Body Strength,Hip Hinge,
342,Leg Swings - Front,Hip & Leg Mobility,Front Split Line,
343,Leg Swings - Side,Hip & Leg Mobility,Middle Split Line,
344,,,,
345,Good Morning,Loaded Lower Body Strength,Hip Hinge,
346,Good Morning - Single Leg,Loaded Lower Body Strength,Hip Hinge,
347,Good Morning - Wide Leg,Loaded Lower Body Strength,Hip Hinge,
348,RDL,Loaded Lower Body Strength,Hip Hinge,
349,Forward Fold Pulses,Hip & Leg Mobility,Front Split Line,
350,Partner Forward Fold,Hip & Leg Mobility,Front Split Line,Partner & Connection - Team Work & Connection
351,Partner Hamstring Stretch,Hip & Leg Mobility,Front Split Line,Partner & Connection - Team Work & Connection
352,Partner Leg Lift - Front,Hip & Leg Mobility,Front Split Line,Partner & Connection - Team Work & Connection
353,Partner Leg Lift - Side,Hip & Leg Mobility,Middle Split Line,Partner & Connection - Team Work & Connection
354,Hinge Pick Ups,Loaded Lower Body Strength,Hip Hinge,
355,,,,
356,Couch Stretch,Hip & Leg Mobility,Front Split Line,
357,Couch Stretch - Super,Hip & Leg Mobility,Front Split Line,
358,Couch Stretch - Arching,Hip & Leg Mobility,Front Split Line,
359,Heavy Hip Flexor Stretch,Hip & Leg Mobility,Front Split Line,
360,Long Lunge - Hold,Hip & Leg Mobility,Front Split Line,
361,Long Lunge - Pulses,Hip & Leg Mobility,Front Split Line,
362,Long Lunge - Contract and Relax,Hip & Leg Mobility,Front Split Line,
363,Split Squat,Loaded Lower Body Strength,Single-Leg Squat & Lunge,
364,Leg Swings - Back,Hip & Leg Mobility,Front Split Line,
365,Front Splits,Hip & Leg Mobility,Front Split Line,
366,Front Splits - Active,Hip & Leg Mobility,Front Split Line,
367,Front Splits - Sliders,Hip & Leg Mobility,Front Split Line,
368,Front Splits - Knee Lift Contract and Relax,Hip & Leg Mobility,Front Split Line,
369,Dancers Pose,Hip & Leg Mobility,Front Split Line,
370,Kneeling Runners Stretch,Hip & Leg Mobility,Front Split Line,
371,Thomas Stretch,Hip & Leg Mobility,Front Split Line,
372,Diagonal Stretch,Hip & Leg Mobility,Middle Split Line,
373,,,,
374,Butterfly,Hip & Leg Mobility,Middle Split Line,
375,Butterfly - Weighted,Hip & Leg Mobility,Middle Split Line,
376,Butterfly - Partner,Hip & Leg Mobility,Middle Split Line,Partner & Connection - Team Work & Connection
377,Copenhagen,Hip & Leg Mobility,Middle Split Line,
378,90/90,Hip & Leg Mobility,Hip Rotation,
379,Pigeon Stretch,Hip & Leg Mobility,Hip Rotation,
380,Pigeon Stretch - Box,Hip & Leg Mobility,Hip Rotation,
381,Hurdler Stretch,Hip & Leg Mobility,Front Split Line,
382,Horse Stance,Hip & Leg Mobility,Stance Positions,
383,Horse Stance - Squats,Loaded Lower Body Strength,Lateral / Mobility Squat,Hip & Leg Mobility - Stance Positions
384,Pancake,Hip & Leg Mobility,Middle Split Line,
385,Pancake - Elevated,Hip & Leg Mobility,Middle Split Line,
386,Pancake - Partner,Hip & Leg Mobility,Middle Split Line,Partner & Connection - Team Work & Connection
387,Pancake - Weighted,Hip & Leg Mobility,Middle Split Line,
388,Pancake - Dynamic,Hip & Leg Mobility,Middle Split Line,
389,Frog Stretch,Hip & Leg Mobility,Middle Split Line,
390,Frog - Internal Lifts,Hip & Leg Mobility,Middle Split Line,
391,Middle Splits,Hip & Leg Mobility,Middle Split Line,
392,Middle Splits - Active,Hip & Leg Mobility,Middle Split Line,
393,Middle Splits - Sliding,Hip & Leg Mobility,Middle Split Line,
394,Middle Splits - Contract and Relax,Hip & Leg Mobility,Middle Split Line,
395,Side Pancake Weighted,Hip & Leg Mobility,Middle Split Line,
396,,,,
397,Foam Roller Opener - Dumbbell,Shoulder & Thoracic Mobility,Chest & Thoracic Opening,
398,Foam Roller Opener - Stall Bars,Shoulder & Thoracic Mobility,Chest & Thoracic Opening,
399,Lying Chest Stretch,Shoulder & Thoracic Mobility,Chest & Thoracic Opening,
400,Over head Partner Push,Shoulder & Thoracic Mobility,Chest & Thoracic Opening,Partner & Connection - Team Work & Connection
401,Standing Chest Stretch,Shoulder & Thoracic Mobility,Chest & Thoracic Opening,
402,Dumbell Lower Trap Raise,Shoulder & Thoracic Mobility,Scapular Control,
403,Cuban Rotation,Shoulder & Thoracic Mobility,Shoulder Rotation,
404,Dumbell Internal/External rotion,Shoulder & Thoracic Mobility,Shoulder Rotation,
405,Table Top Lifts,Shoulder & Thoracic Mobility,Chest & Thoracic Opening,
406,Table Top Hold,Shoulder & Thoracic Mobility,Chest & Thoracic Opening,
407,Dumbell Flys,Shoulder & Thoracic Mobility,Chest & Thoracic Opening,
408,Standing Lat Stretch,Shoulder & Thoracic Mobility,Lat & Side Body,
409,Squat Lat Stretch,Shoulder & Thoracic Mobility,Lat & Side Body,
410,Mermaid Stretch,Shoulder & Thoracic Mobility,Lat & Side Body,
411,,,,
412,Cobra Peel,Spinal Mobility,Spinal Extension & Bridging,
413,Standing Arch,Spinal Mobility,Spinal Extension & Bridging,
414,Yoga Wheel Opener,Spinal Mobility,Spinal Extension & Bridging,
415,Thoracic Bridge,Spinal Mobility,Spinal Extension & Bridging,
416,Bridge Hold,Spinal Mobility,Spinal Extension & Bridging,
417,Bridge Pulses,Spinal Mobility,Spinal Extension & Bridging,
418,,,,
419,Planche,Straight Arm Strength,Planche Line,
420,,,,
421,Kettlebell Swing,Loaded Lower Body Strength,Hip Hinge,
422,Kettlebell Swing Squat,Loaded Lower Body Strength,Hip Hinge,
423,Kettlebell Swing Single Arm,Loaded Lower Body Strength,Hip Hinge,
424,Kettlebell Thruster,Loaded Lower Body Strength,Bilateral Squat,Pressing Strength - Vertical Press
425,Kettlebell Halo,Core & Midline,Rotational & Loaded Core,
426,Kettlebell Around the World,Core & Midline,Rotational & Loaded Core,
427,Kettlebell ATW to Lunge,Core & Midline,Rotational & Loaded Core,
428,Kettlebell Wood Chop,Core & Midline,Rotational & Loaded Core,
429,Kettlebell Walking Lunge,Loaded Lower Body Strength,Single-Leg Squat & Lunge,
430,,,,
431,Split Squat,Loaded Lower Body Strength,Single-Leg Squat & Lunge,
432,Cossack Squat,Loaded Lower Body Strength,Lateral / Mobility Squat,
433,Sissy Squat,Loaded Lower Body Strength,Anterior Chain (knee),
434,Lunge,Loaded Lower Body Strength,Single-Leg Squat & Lunge,
435,,,,
