trait_order,trait,pathway_order,pathway
1,Hanging & Pulling Above the Bar,1,Passive / Active Hang
1,Hanging & Pulling Above the Bar,2,Vertical Pull
1,Hanging & Pulling Above the Bar,3,Horizontal Pull
1,Hanging & Pulling Above the Bar,4,Pull-to-Press Transition
2,Lever & Straight-Arm Body Control,1,Front Lever Line
2,Lever & Straight-Arm Body Control,2,Planche Line
2,Lever & Straight-Arm Body Control,3,Side Lever Line
3,Pressing Strength,1,Horizontal Press
3,Pressing Strength,2,Dip Press
3,Pressing Strength,3,Vertical Press
3,Pressing Strength,4,Bent-Arm to Straight-Arm Press
4,Hand Balancing & Inversion,1,Bent-Arm Balances
4,Hand Balancing & Inversion,2,Static Inversion
4,Hand Balancing & Inversion,3,Shaped Handstands
4,Hand Balancing & Inversion,4,Press Entries
5,Loaded Lower Body Strength,1,Bilateral Squat
5,Loaded Lower Body Strength,2,Single-Leg Squat
5,Loaded Lower Body Strength,3,Lateral / Mobility Squat
5,Loaded Lower Body Strength,4,Hip Hinge
5,Loaded Lower Body Strength,5,Posterior Chain (knee)
5,Loaded Lower Body Strength,6,Anterior Chain (knee)
6,Bounciness & Elastic Power,1,Vertical Jump
6,Bounciness & Elastic Power,2,Horizontal Jump
6,Bounciness & Elastic Power,3,Rotational / Kick Power
6,Bounciness & Elastic Power,4,Hand-Reactive Spring
7,Foundational Resting Positions,1,Squat Position
7,Foundational Resting Positions,2,Stance Positions
7,Foundational Resting Positions,3,Hip Opening (sagittal)
7,Foundational Resting Positions,4,Hip Opening (frontal)
7,Foundational Resting Positions,5,Spinal Extension
8,Spinal & Hip Articulation,1,Spinal Waves
8,Spinal & Hip Articulation,2,Bridge Articulation
8,Spinal & Hip Articulation,3,Hip Articulation
8,Spinal & Hip Articulation,4,Rotational Articulation
9,Inverted & Rotational Locomotion,1,Rolls
9,Inverted & Rotational Locomotion,2,Cartwheel Family
9,Inverted & Rotational Locomotion,3,Flips & Handsprings
9,Inverted & Rotational Locomotion,4,Capoeira Inversions
10,Ground Locomotion,1,Quadrupedal Forward
10,Ground Locomotion,2,Lateral / Multi-directional
10,Ground Locomotion,3,Rolling Locomotion
11,Hand-Eye Coordination & Object Manipulation,1,Juggling
11,Hand-Eye Coordination & Object Manipulation,2,Object Manipulation
11,Hand-Eye Coordination & Object Manipulation,3,Reactive Catching
11,Hand-Eye Coordination & Object Manipulation,4,Foot-Eye Cross
12,"Rhythm, Flow & Expression",1,Rhythmic Foundations
12,"Rhythm, Flow & Expression",2,Floor Flow
12,"Rhythm, Flow & Expression",3,Dance / Musical Movement

name,trait,pathway,level,is_anchor,class_types,regresses_from,progresses_to,equipment,notes,video_url
QDR Pose,Hand Balancing & Inversion,Bent-Arm Balances,7,FALSE,Upper,Croc Pose,One-Arm Crow,Floor,Quadruped diagonal reach pose.,
One-Arm Crow,Hand Balancing & Inversion,Bent-Arm Balances,9,FALSE,Upper,QDR Pose,,Floor,One-arm bent-arm balance.,
Headstand,Hand Balancing & Inversion,Static Inversion,3,FALSE,Upper,,Wall Handstand,Floor or mat,Tripod or yoga headstand.,
Shoulder Stand,Hand Balancing & Inversion,Static Inversion,3,FALSE,Upper,,Wall Handstand,Mat,Inverted on shoulders.,
Wall Handstand,Hand Balancing & Inversion,Static Inversion,5,FALSE,Upper,Headstand,Handstand,Wall,Belly to wall or back to wall.,
Handstand,Hand Balancing & Inversion,Static Inversion,7,TRUE,Upper,Wall Handstand,One-Arm Handstand,Floor,"Anchor exercise. Free-standing handstand, foundation for all inversions.",
One-Arm Handstand,Hand Balancing & Inversion,Static Inversion,10,FALSE,Upper,Handstand,,Floor,Elite balance benchmark.,
Tuck Handstand,Hand Balancing & Inversion,Shaped Handstands,6,FALSE,Upper,,Straddle Handstand,Floor,Handstand with knees tucked.,
Straddle Handstand,Hand Balancing & Inversion,Shaped Handstands,7,FALSE,Upper,Tuck Handstand,Split Handstand,Floor,Legs in straddle position.,
Split Handstand,Hand Balancing & Inversion,Shaped Handstands,8,FALSE,Upper,Straddle Handstand,Stalder / Mexican,Floor,Legs in front-back split.,
Stalder / Mexican,Hand Balancing & Inversion,Shaped Handstands,9,FALSE,Upper,Split Handstand,,Floor,Stalder or Mexican (back-arched) handstand.,
Tuck Press,Hand Balancing & Inversion,Press Entries,5,FALSE,Upper,,Straddle Press,Floor,Press from tucked position.,
Straddle Press,Hand Balancing & Inversion,Press Entries,7,FALSE,Upper,Tuck Press,Press to Handstand,Floor,Straddle press to handstand.,
BW Squat,Loaded Lower Body Strength,Bilateral Squat,1,FALSE,"Lower, Full",,Goblet Squat,None,Foundation squat pattern.,
Goblet Squat,Loaded Lower Body Strength,Bilateral Squat,3,FALSE,"Lower, Full",BW Squat,Front / Back Squat,Kettlebell or dumbbell,Held at chest.,
Front / Back Squat,Loaded Lower Body Strength,Bilateral Squat,5,FALSE,"Lower, Full",Goblet Squat,Heavy Squat,"Barbell, rack",Front-loaded or back-loaded squat.,
Heavy Squat,Loaded Lower Body Strength,Bilateral Squat,7,FALSE,Lower,Front / Back Squat,Pause / Tempo Heavy,"Barbell, rack",Working at high percentages of 1RM.,
Pause / Tempo Heavy,Loaded Lower Body Strength,Bilateral Squat,8,FALSE,Lower,Heavy Squat,,"Barbell, rack",Pause at bottom or controlled tempo.,
Split Squat,Loaded Lower Body Strength,Single-Leg Squat,2,FALSE,"Lower, Full",,Bulgarian Split,None,Stationary lunge.,
Bulgarian Split,Loaded Lower Body Strength,Single-Leg Squat,4,FALSE,"Lower, Full",Split Squat,Pistol Squat,Bench,Rear foot elevated.,
Pistol Squat,Loaded Lower Body Strength,Single-Leg Squat,6,TRUE,"Lower, Full",Bulgarian Split,Shrimp Squat,None,Anchor exercise. Single-leg full-depth squat.,
Shrimp Squat,Loaded Lower Body Strength,Single-Leg Squat,7,FALSE,"Lower, Full",Pistol Squat,Dragon Squat,None,Hold rear foot behind back.,
Dragon Squat,Loaded Lower Body Strength,Single-Leg Squat,9,TRUE,Lower,Shrimp Squat,,None,Anchor exercise. Crossed rear leg pistol variation.,
Side Lunge,Loaded Lower Body Strength,Lateral / Mobility Squat,2,FALSE,"Lower, Full",,Cossack Squat,None,Lateral lunge pattern.,
Cossack Squat,Loaded Lower Body Strength,Lateral / Mobility Squat,4,TRUE,"Lower, Full",Side Lunge,Loaded Cossack,None,"Anchor exercise. Deep lateral squat, one leg straight.",
Loaded Cossack,Loaded Lower Body Strength,Lateral / Mobility Squat,6,FALSE,Lower,Cossack Squat,Deep Loaded Cossack,"Kettlebell, dumbbell",Add load at chest.,
Deep Loaded Cossack,Loaded Lower Body Strength,Lateral / Mobility Squat,7,FALSE,Lower,Loaded Cossack,Cossack-to-Pistol Flow,"Kettlebell, dumbbell",Full depth with load.,
Cossack-to-Pistol Flow,Loaded Lower Body Strength,Lateral / Mobility Squat,9,FALSE,Lower,Deep Loaded Cossack,,None,Flow between cossack and pistol.,
Hip Bridge,Loaded Lower Body Strength,Hip Hinge,1,FALSE,"Lower, Full",,RDL,None,Foundation hip extension.,
RDL,Loaded Lower Body Strength,Hip Hinge,3,FALSE,"Lower, Full",Hip Bridge,Deadlift,"Barbell, dumbbells",Romanian deadlift - hinge pattern.,
Deadlift,Loaded Lower Body Strength,Hip Hinge,5,TRUE,"Lower, Full",RDL,Heavy Deadlift,Barbell,Anchor exercise. Conventional deadlift.,
Heavy Deadlift,Loaded Lower Body Strength,Hip Hinge,7,FALSE,Lower,Deadlift,SL Deadlift (loaded),Barbell,Working at high percentages of 1RM.,
SL Deadlift (loaded),Loaded Lower Body Strength,Hip Hinge,8,FALSE,Lower,Heavy Deadlift,,"Dumbbells, kettlebell",Single-leg deadlift with load.,
Hamstring Curl,Loaded Lower Body Strength,Posterior Chain (knee),2,FALSE,Lower,,Slick Floor Bridge,Machine or sliders,Knee flexion strength.,
Slick Floor Bridge,Loaded Lower Body Strength,Posterior Chain (knee),4,FALSE,Lower,Hamstring Curl,Nordic Negative,Sliders or smooth floor,Bridge with sliding feet.,
Nordic Negative,Loaded Lower Body Strength,Posterior Chain (knee),5,FALSE,Lower,Slick Floor Bridge,Full Nordic Curl,"Partner or pad",Slow lowering only.,
Full Nordic Curl,Loaded Lower Body Strength,Posterior Chain (knee),8,FALSE,Lower,Nordic Negative,Weighted Nordic,"Partner or pad",Full range concentric and eccentric.,
Weighted Nordic,Loaded Lower Body Strength,Posterior Chain (knee),10,FALSE,Lower,Full Nordic Curl,,"Partner or pad, weight",Elite hamstring benchmark.,
Wall Sit,Loaded Lower Body Strength,Anterior Chain (knee),1,FALSE,"Lower, Full",,Sissy Squat (assist),Wall,Isometric quad endurance.,
Sissy Squat (assist),Loaded Lower Body Strength,Anterior Chain (knee),3,FALSE,Lower,Wall Sit,Sissy Squat,"Wall or pole",Hold support while leaning back.,
Sissy Squat,Loaded Lower Body Strength,Anterior Chain (knee),6,FALSE,Lower,Sissy Squat (assist),Loaded Sissy,None,Lean back on toes.,
Loaded Sissy,Loaded Lower Body Strength,Anterior Chain (knee),8,FALSE,Lower,Sissy Squat,Full Sissy (no support),"Dumbbells, plate",Add load at chest.,
Full Sissy (no support),Loaded Lower Body Strength,Anterior Chain (knee),9,FALSE,Lower,Loaded Sissy,,None,Full range no support.,
Pogo Hops,Bounciness & Elastic Power,Vertical Jump,1,FALSE,"Lower, Full",,Tuck Jump,None,Quick reactive hops minimal knee bend.,
Tuck Jump,Bounciness & Elastic Power,Vertical Jump,3,FALSE,"Lower, Full",Pogo Hops,Box Jump,None,Knees to chest at apex.,
Box Jump,Bounciness & Elastic Power,Vertical Jump,4,TRUE,"Lower, Full",Tuck Jump,High Box Jump,Box,Anchor exercise. Land softly in athletic stance.,
High Box Jump,Bounciness & Elastic Power,Vertical Jump,6,FALSE,Lower,Box Jump,Depth Jump → Box,Box,High box requiring full hip extension.,
Depth Jump → Box,Bounciness & Elastic Power,Vertical Jump,8,FALSE,Lower,High Box Jump,,"Two boxes",Drop and rebound onto second box.,
Standing Hop,Bounciness & Elastic Power,Horizontal Jump,1,FALSE,"Lower, Full",,Broad Jump,None,Small horizontal hops.,
Broad Jump,Bounciness & Elastic Power,Horizontal Jump,3,FALSE,"Lower, Full",Standing Hop,Triple Broad Jump,None,Maximum horizontal distance.,
Triple Broad Jump,Bounciness & Elastic Power,Horizontal Jump,5,FALSE,Lower,Broad Jump,Bounding,None,Three consecutive broad jumps.,
Bounding,Bounciness & Elastic Power,Horizontal Jump,6,FALSE,Lower,Triple Broad Jump,Single-Leg Bound,None,Exaggerated running stride.,
Single-Leg Bound,Bounciness & Elastic Power,Horizontal Jump,8,FALSE,Lower,Bounding,,None,Hop on one leg covering distance.,
Front Kick,Bounciness & Elastic Power,Rotational / Kick Power,2,FALSE,"Lower, Full",,Crescent Kick,None,Linear kicking pattern.,
Crescent Kick,Bounciness & Elastic Power,Rotational / Kick Power,4,FALSE,"Lower, Full",Front Kick,Butterfly Kick,None,Sweeping arc kick.,
Butterfly Kick,Bounciness & Elastic Power,Rotational / Kick Power,6,FALSE,"Lower, Full",Crescent Kick,Aerial,None,Hands touch floor leaping kick.,
Aerial,Bounciness & Elastic Power,Rotational / Kick Power,8,FALSE,Full,Butterfly Kick,Macaco / 540 Kick,Mat,No-hands cartwheel/kick.,
Macaco / 540 Kick,Bounciness & Elastic Power,Rotational / Kick Power,9,FALSE,Full,Aerial,,Mat,Capoeira flip-kick or martial 540 kick.,
Handstand Hops,Bounciness & Elastic Power,Hand-Reactive Spring,6,FALSE,Upper,,Back Handspring (spot),Floor,Bouncing in handstand.,
Back Handspring (spot),Bounciness & Elastic Power,Hand-Reactive Spring,7,FALSE,Full,Handstand Hops,Back Handspring,"Mat, spotter",Spotted back handspring.,
Back Handspring,Bounciness & Elastic Power,Hand-Reactive Spring,8,FALSE,Full,Back Handspring (spot),Standing Back Tuck,Mat,Unspotted back handspring.,
Standing Back Tuck,Bounciness & Elastic Power,Hand-Reactive Spring,10,FALSE,Full,Back Handspring,,Mat,Elite tumbling benchmark.,
Supported Squat,Foundational Resting Positions,Squat Position,1,FALSE,"Lower, Full",,Resting Squat,None,Hold something for support.,
Resting Squat,Foundational Resting Positions,Squat Position,3,FALSE,"Lower, Full",Supported Squat,Loaded Resting Squat,None,Deep relaxed squat hold.,
Loaded Resting Squat,Foundational Resting Positions,Squat Position,5,FALSE,Lower,Resting Squat,,Light load,Hold a load while in deep squat.,
Wide Stance,Foundational Resting Positions,Stance Positions,1,FALSE,"Lower, Full",,Horse Stance,None,Feet wide knees slightly bent.,
Horse Stance,Foundational Resting Positions,Stance Positions,3,FALSE,"Lower, Full",Wide Stance,Deep Horse Stance,None,Thighs parallel to floor.,
Deep Horse Stance,Foundational Resting Positions,Stance Positions,5,FALSE,Lower,Horse Stance,Long Horse Hold,None,Below parallel hold.,
Long Horse Hold,Foundational Resting Positions,Stance Positions,7,FALSE,Lower,Deep Horse Stance,,None,5+ minute hold for conditioning.,
Lunge,Foundational Resting Positions,Hip Opening (sagittal),1,FALSE,"Lower, Full",,Half Split,None,Foundation hip flexor opening.,
Half Split,Foundational Resting Positions,Hip Opening (sagittal),3,FALSE,"Lower, Full",Lunge,Front Split (low),None,Knee down rear leg straight.,
Front Split (low),Foundational Resting Positions,Hip Opening (sagittal),5,FALSE,Lower,Half Split,Front Split (flat),"Yoga blocks",Partial range front split.,
Front Split (flat),Foundational Resting Positions,Hip Opening (sagittal),7,FALSE,Lower,Front Split (low),Oversplit,None,Hips touching floor full split.,
Oversplit,Foundational Resting Positions,Hip Opening (sagittal),9,FALSE,Lower,Front Split (flat),,Blocks or elevation,Beyond 180-degree split.,
Wide Squat,Foundational Resting Positions,Hip Opening (frontal),1,FALSE,"Lower, Full",,Pancake (upright),None,Wide stance squat foundation.,
Pancake (upright),Foundational Resting Positions,Hip Opening (frontal),4,FALSE,"Lower, Full",Wide Squat,Middle Split (low),None,Wide-legged forward fold seated.,
Middle Split (low),Foundational Resting Positions,Hip Opening (frontal),6,FALSE,Lower,Pancake (upright),Middle Split (flat),"Yoga blocks",Partial range middle split.,
Middle Split (flat),Foundational Resting Positions,Hip Opening (frontal),8,FALSE,Lower,Middle Split (low),Pancake (chest down),None,Full 180-degree middle split.,
Pancake (chest down),Foundational Resting Positions,Hip Opening (frontal),9,FALSE,Lower,Middle Split (flat),,None,Chest flat on floor in pancake.,
Cobra,Foundational Resting Positions,Spinal Extension,1,FALSE,"Lower, Full",,Bridge (assisted),Mat,Prone spinal extension.,
Bridge (assisted),Foundational Resting Positions,Spinal Extension,3,FALSE,"Lower, Full",Cobra,Back Bridge,"Wall or partner",Hands on wall or partner support.,
Back Bridge,Foundational Resting Positions,Spinal Extension,5,FALSE,"Lower, Full",Bridge (assisted),Closed Bridge,Mat,Full bridge from floor.,
Closed Bridge,Foundational Resting Positions,Spinal Extension,7,FALSE,Lower,Back Bridge,Chest-Stand Bridge,Mat,Hands close to feet.,
Chest-Stand Bridge,Foundational Resting Positions,Spinal Extension,9,FALSE,Lower,Closed Bridge,,Mat,Elbows down forearms flat.,
Cat-Cow,Spinal & Hip Articulation,Spinal Waves,1,FALSE,Full,,Standing Wave,Mat,Foundation spinal articulation.,
Standing Wave,Spinal & Hip Articulation,Spinal Waves,3,FALSE,Full,Cat-Cow,Full Body Wave,None,Vertical spinal wave standing.,
Full Body Wave,Spinal & Hip Articulation,Spinal Waves,5,FALSE,Full,Standing Wave,Wave to Inversion,None,Head-to-toe sequential articulation.,
Wave to Inversion,Spinal & Hip Articulation,Spinal Waves,7,FALSE,Full,Full Body Wave,Improvised Waves,None,Wave into handstand or bridge.,
Improvised Waves,Spinal & Hip Articulation,Spinal Waves,8,FALSE,Full,Wave to Inversion,,None,Free improvisation with wave patterns.,
Bridge,Spinal & Hip Articulation,Bridge Articulation,4,FALSE,Full,,Bridge Walk-Up,Mat,Hold bridge as starting point.,
Bridge Walk-Up,Spinal & Hip Articulation,Bridge Articulation,5,FALSE,Full,Bridge,Bridge Kickover,Wall,Walk hands up wall into bridge.,
